,NAME_3,price(million)
212,Dawa,271002.66099999996
213,Dawu,157256.70270000002
214,Daxian,477670.1203000001
215,Daxin,30065.777199999997
216,Daxing,74487.0741
217,Dayao,28291.89189999999
218,Daye,624136.6036000001
219,Dayi,155499.23549999998
220,Dayu,58660.57999999997
221,Dazhu,332417.0593999999
222,De'an,272780.6029999997
223,Debao,18546.606900000002
224,Dechang,67139.31459999998
225,Dedu,24431.7
226,Dehua,201392.2065
227,Dehui,315366.0972999999
228,Dejiang,224469.8
229,Delingha,45543.7
230,Deng,765181.3797000002
231,Dengfeng,322146.92720000003
232,Dengkou,26058.425999999996
233,Dengta,328821.3922000002
234,Deqing,848213.3968999998
235,Dexing,406760.4
236,Deyang,364561.9651000002
237,Dezhou,802175.3909000001
238,Dianbai,316724.4024000001
239,Ding,2120938.812599999
240,Ding An,60217.9083
241,Dingbian,33891.32899999998
242,Dingcheng,214425.19129999998
243,Dinghai,422246.16079999995
244,Dingnan,78538.59899999997
245,Dingtao,266557.7577
246,Dingxi,89439.4529
247,Dingxiang,42314.49999999999
248,Dingxing,95114.56
249,Dingyuan,410949.7486
250,Dong Ujimqin,5350.7734
251,Dong'e,143510.69420000006
252,Dongchuan,24255.7531
253,Dongfang,176892.66160000002
254,Donggang,272610.68139999994
255,Dongguang,85078.47489999997
256,Donghai,238855.39
257,Donglan,7171.2339999999995
258,Dongli,369894.8476
259,Dongliao,22531.97
260,Dongming,186356.1655000001
261,Dongning,17837.5
262,Dongping,242987.48610000004
263,Dongshan,117927.84910000002
264,Dongsheng,93661.6989
265,Dongtai,838324.0535000007
266,Dongxiang,240884.33500000002
267,Dongxing,153590.73280000006
268,Dongyang,1010649.8177000002
269,Dongyuan,308089.14979999996
270,Dongzhi,461631.1800000001
271,Doumen,51032.12780000001
272,Duchang,253981.48930000007
273,Dulan,8536.0561
274,Dunhua,46393.2386
275,Dunhuang,99390.45050000004
276,Duolun,52279.70899999997
277,Dushan,163512.05229999998
278,Dushanzi,26187.974699999984
279,Duyun,727788.7876
280,Du’an Yao,53956.28119999998
281,Dêgê,53.8
282,Dêqên,1918.4841000000004
283,Dêrong,21.849999999999998
284,Ebian Yi,4920.930000000002
285,Ejin,33560.098600000005
286,Ejin Horo,343410.5004000001
287,Emeishan,549835.513
288,Emin,19906.332599999998
289,Enping,105218.67000000001
290,Erenhot,56094.57860000001
291,Ergun,15126.343999999988
292,Eryuan,55488.780000000006
293,Eshan Yi,51115.825600000004
294,Evenk,49936.568000000014
295,Faku,207511.9467999999
296,Fanchang,375460.69180000015
297,Fang,147301.0465
298,Fangcheng,202174.7788
299,Fangshan,375302.4739
300,Fangzheng,18552.6
301,Fanshi,75691.72540000002
302,Fanxian,806727.1881000003
303,Feicheng,389138.3500999999
304,Feidong,1329623.9352000004
305,Feixi,911358.7981000001
306,Feixian,4300154.507200001
307,Feixiang,55639.756299999965
308,Feng,1511115.1064999986
309,Fengcheng,889899.2913999992
310,Fengfengkuang,128505.55260000001
311,Fenggang,73385.00280000009
312,Fenghua,1071365.5030000007
313,Fengkai,46818.11099999998
314,Fengnan,384471.5641
315,Fengning Manchu,124279.7958
316,Fengqing,36065.75289999999
317,Fengqiu,67819.21120000005
318,Fengrun,323027.1873000001
319,Fengshan,42709.0247
320,Fengshun,125770.27449999997
321,Fengtai,295582.12590000016
322,Fengxiang,39908.90620000003
323,Fengxin,278401.1525000001
324,Fengyang,259316.4788
325,Fengzhen,49479.39600000001
326,Fenxi,5514.599299999999
327,Fenyang,108695.7136
328,Fenyi,158422.14
329,Fogang,98968.80910000004
330,Foping,20959.4563
331,Fu,57132.5683
332,Fu'an,473955.96199999994
333,Fucheng,73145.9274
334,Fuchuan Yao,129722.88479999999
335,Fuding,332263.1813
336,Fufeng,37066.416
337,Fugou,110106.7781
338,Fugu,111903.6062
339,Fuhai,19538.3996
340,Fujin,67800.61379999999
341,Fukang,114304.76689999999
342,Fumin,134722.70480000004
343,Funan,590915.8497000001
344,Funing,1031843.0379
345,Fuping,272285.17559999996
346,Fuqing,1756821.6236000003
347,Fuquan,182901.09420000002
348,Fushan,1083987.0641999997
349,Fushun,292681.75320000004
350,Fusong,174149.23060000004
351,Fusui,75661.58150000003
352,Fuxin,315024.12489999994
353,Fuxin Mongol,195534.0222
354,Fuyang,5314752.8645
355,Fuyu,98825.0101
356,Fuyuan,38688.761999999995
357,Fuyun,18229.299499999997
358,Fuzhou,11593109.308799995
359,Gadê,64.66520000000003
360,Gai,831145.3964
361,Gan,204219.976
362,Gangca,2113.4669
363,Gangu,60963.9367
364,Ganluo,4265.0032999999985
365,Gannan,42609.832799999975
366,Ganquan,34852.945700000004
